id,scenario,plant_id,timestep,area,fuel_type,production,up_activation,down_activation
376,6,1,38,1,Thermal,0.0,0.0,0.0
377,7,1,38,1,Thermal,0.0,0.0,0.0
378,8,1,38,1,Thermal,0.0,0.0,0.0
379,9,1,38,1,Thermal,0.0,0.0,0.0
380,10,1,38,1,Thermal,0.0,0.0,0.0
381,1,1,39,1,Thermal,0.0,0.0,0.0
382,2,1,39,1,Thermal,0.0,0.0,0.0
383,3,1,39,1,Thermal,0.0,0.0,0.0
384,4,1,39,1,Thermal,0.0,0.0,0.0
385,5,1,39,1,Thermal,0.0,0.0,0.0
386,6,1,39,1,Thermal,0.0,0.0,0.0
387,7,1,39,1,Thermal,0.0,0.0,0.0
388,8,1,39,1,Thermal,0.0,0.0,0.0
389,9,1,39,1,Thermal,0.0,0.0,0.0
390,10,1,39,1,Thermal,0.0,0.0,0.0
391,1,1,40,1,Thermal,0.0,0.0,0.0
392,2,1,40,1,Thermal,0.0,0.0,0.0
393,3,1,40,1,Thermal,0.0,0.0,0.0
394,4,1,40,1,Thermal,0.0,0.0,0.0
395,5,1,40,1,Thermal,0.0,0.0,0.0
396,6,1,40,1,Thermal,0.0,0.0,0.0
397,7,1,40,1,Thermal,0.0,0.0,0.0
398,8,1,40,1,Thermal,0.0,0.0,0.0
399,9,1,40,1,Thermal,0.0,0.0,0.0
400,10,1,40,1,Thermal,0.0,0.0,0.0
401,1,1,41,1,Thermal,0.0,0.0,0.0
402,2,1,41,1,Thermal,0.0,0.0,0.0
403,3,1,41,1,Thermal,0.0,0.0,0.0
404,4,1,41,1,Thermal,0.0,0.0,0.0
405,5,1,41,1,Thermal,0.0,0.0,0.0
406,6,1,41,1,Thermal,0.0,0.0,0.0
407,7,1,41,1,Thermal,0.0,0.0,0.0
408,8,1,41,1,Thermal,0.0,0.0,0.0
409,9,1,41,1,Thermal,0.0,0.0,0.0
410,10,1,41,1,Thermal,0.0,0.0,0.0
411,1,1,42,1,Thermal,0.0,0.0,0.0
412,2,1,42,1,Thermal,0.0,0.0,0.0
413,3,1,42,1,Thermal,0.0,0.0,0.0
414,4,1,42,1,Thermal,0.0,0.0,0.0
415,5,1,42,1,Thermal,0.0,0.0,0.0
416,6,1,42,1,Thermal,0.0,0.0,0.0
417,7,1,42,1,Thermal,0.0,0.0,0.0
418,8,1,42,1,Thermal,0.0,0.0,0.0
419,9,1,42,1,Thermal,0.0,0.0,0.0
420,10,1,42,1,Thermal,0.0,0.0,0.0
421,1,1,43,1,Thermal,0.0,0.0,0.0
422,2,1,43,1,Thermal,0.0,0.0,0.0
423,3,1,43,1,Thermal,0.0,0.0,0.0
424,4,1,43,1,Thermal,0.0,0.0,0.0
425,5,1,43,1,Thermal,0.0,0.0,0.0
426,6,1,43,1,Thermal,0.0,0.0,0.0
427,7,1,43,1,Thermal,0.0,0.0,0.0
428,8,1,43,1,Thermal,0.0,0.0,0.0
429,9,1,43,1,Thermal,0.0,0.0,0.0
430,10,1,43,1,Thermal,0.0,0.0,0.0
431,1,1,44,1,Thermal,0.0,0.0,0.0
432,2,1,44,1,Thermal,0.0,0.0,0.0
433,3,1,44,1,Thermal,0.0,0.0,0.0
434,4,1,44,1,Thermal,0.0,0.0,0.0
435,5,1,44,1,Thermal,0.0,0.0,0.0
436,6,1,44,1,Thermal,0.0,0.0,0.0
437,7,1,44,1,Thermal,0.0,0.0,0.0
438,8,1,44,1,Thermal,0.0,0.0,0.0
439,9,1,44,1,Thermal,0.0,0.0,0.0
440,10,1,44,1,Thermal,0.0,0.0,0.0
441,1,1,45,1,Thermal,0.0,0.0,0.0
442,2,1,45,1,Thermal,0.0,0.0,0.0
443,3,1,45,1,Thermal,0.0,0.0,0.0
444,4,1,45,1,Thermal,0.0,0.0,0.0
445,5,1,45,1,Thermal,0.0,0.0,0.0
446,6,1,45,1,Thermal,0.0,0.0,0.0
447,7,1,45,1,Thermal,0.0,0.0,0.0
448,8,1,45,1,Thermal,0.0,0.0,0.0
449,9,1,45,1,Thermal,0.0,0.0,0.0
450,10,1,45,1,Thermal,0.0,0.0,0.0
451,1,1,46,1,Thermal,0.0,0.0,0.0
452,2,1,46,1,Thermal,0.0,0.0,0.0
453,3,1,46,1,Thermal,0.0,0.0,0.0
454,4,1,46,1,Thermal,0.0,0.0,0.0
455,5,1,46,1,Thermal,0.0,0.0,0.0
456,6,1,46,1,Thermal,0.0,0.0,0.0
457,7,1,46,1,Thermal,0.0,0.0,0.0
458,8,1,46,1,Thermal,0.0,0.0,0.0
459,9,1,46,1,Thermal,0.0,0.0,0.0
460,10,1,46,1,Thermal,0.0,0.0,0.0
461,1,1,47,1,Thermal,0.0,0.0,0.0
462,2,1,47,1,Thermal,0.0,0.0,0.0
463,3,1,47,1,Thermal,0.0,0.0,0.0
464,4,1,47,1,Thermal,0.0,0.0,0.0
465,5,1,47,1,Thermal,0.0,0.0,0.0
466,6,1,47,1,Thermal,0.0,0.0,0.0
467,7,1,47,1,Thermal,0.0,0.0,0.0
468,8,1,47,1,Thermal,0.0,0.0,0.0
469,9,1,47,1,Thermal,0.0,0.0,0.0
470,10,1,47,1,Thermal,0.0,0.0,0.0
471,1,1,48,1,Thermal,0.0,0.0,0.0
472,2,1,48,1,Thermal,0.0,0.0,0.0
473,3,1,48,1,Thermal,0.0,0.0,0.0
474,4,1,48,1,Thermal,0.0,0.0,0.0
475,5,1,48,1,Thermal,0.0,0.0,0.0
476,6,1,48,1,Thermal,0.0,0.0,0.0
477,7,1,48,1,Thermal,0.0,0.0,0.0
478,8,1,48,1,Thermal,0.0,0.0,0.0
479,9,1,48,1,Thermal,0.0,0.0,0.0
480,10,1,48,1,Thermal,0.0,0.0,0.0
481,1,1,49,1,Thermal,0.0,0.0,0.0
482,2,1,49,1,Thermal,0.0,0.0,0.0
483,3,1,49,1,Thermal,0.0,0.0,0.0
484,4,1,49,1,Thermal,0.0,0.0,0.0
485,5,1,49,1,Thermal,0.0,0.0,0.0
486,6,1,49,1,Thermal,0.0,0.0,0.0
487,7,1,49,1,Thermal,0.0,0.0,0.0
488,8,1,49,1,Thermal,0.0,0.0,0.0
489,9,1,49,1,Thermal,0.0,0.0,0.0
490,10,1,49,1,Thermal,0.0,0.0,0.0
491,1,1,50,1,Thermal,0.0,0.0,0.0
492,2,1,50,1,Thermal,0.0,0.0,0.0
493,3,1,50,1,Thermal,0.0,0.0,0.0
494,4,1,50,1,Thermal,0.0,0.0,0.0
495,5,1,50,1,Thermal,0.0,0.0,0.0
496,6,1,50,1,Thermal,0.0,0.0,0.0
497,7,1,50,1,Thermal,0.0,0.0,0.0
498,8,1,50,1,Thermal,0.0,0.0,0.0
499,9,1,50,1,Thermal,0.0,0.0,0.0
500,10,1,50,1,Thermal,0.0,0.0,0.0
501,1,1,51,1,Thermal,0.0,0.0,0.0
502,2,1,51,1,Thermal,0.0,0.0,0.0
503,3,1,51,1,Thermal,0.0,0.0,0.0
504,4,1,51,1,Thermal,0.0,0.0,0.0
505,5,1,51,1,Thermal,0.0,0.0,0.0
506,6,1,51,1,Thermal,0.0,0.0,0.0
507,7,1,51,1,Thermal,0.0,0.0,0.0
508,8,1,51,1,Thermal,0.0,0.0,0.0
509,9,1,51,1,Thermal,0.0,0.0,0.0
510,10,1,51,1,Thermal,0.0,0.0,0.0
511,1,1,52,1,Thermal,0.0,0.0,0.0
512,2,1,52,1,Thermal,0.0,0.0,0.0
513,3,1,52,1,Thermal,0.0,0.0,0.0
