id,scenario,line_id,timestep,area_from,area_to,transmission,timestep_fractional
1893,0,2,77,2,1,0.0,19.1167
1893,0,2,77,2,1,0.0,19.1333
1893,0,2,77,2,1,0.0,19.15
1893,0,2,77,2,1,0.0,19.1667
1893,0,2,77,2,1,0.0,19.1833
1893,0,2,77,2,1,0.0,19.2
1893,0,2,77,2,1,0.0,19.2167
1893,0,2,77,2,1,0.0,19.2333
1893,0,2,77,2,1,0.0,19.25
1904,0,2,78,2,1,0.0,19.2667
1904,0,2,78,2,1,0.0,19.2833
1904,0,2,78,2,1,0.0,19.3
1904,0,2,78,2,1,0.0,19.3167
1904,0,2,78,2,1,0.0,19.3333
1904,0,2,78,2,1,0.0,19.35
1904,0,2,78,2,1,0.0,19.3667
1904,0,2,78,2,1,0.0,19.3833
1904,0,2,78,2,1,0.0,19.4
1904,0,2,78,2,1,0.0,19.4167
1904,0,2,78,2,1,0.0,19.4333
1904,0,2,78,2,1,0.0,19.45
1904,0,2,78,2,1,0.0,19.4667
1904,0,2,78,2,1,0.0,19.4833
1904,0,2,78,2,1,0.0,19.5
1915,0,2,79,2,1,0.0,19.5167
1915,0,2,79,2,1,0.0,19.5333
1915,0,2,79,2,1,0.0,19.55
1915,0,2,79,2,1,0.0,19.5667
1915,0,2,79,2,1,0.0,19.5833
1915,0,2,79,2,1,0.0,19.6
1915,0,2,79,2,1,0.0,19.6167
1915,0,2,79,2,1,0.0,19.6333
1915,0,2,79,2,1,0.0,19.65
1915,0,2,79,2,1,0.0,19.6667
1915,0,2,79,2,1,0.0,19.6833
1915,0,2,79,2,1,0.0,19.7
1915,0,2,79,2,1,0.0,19.7167
1915,0,2,79,2,1,0.0,19.7333
1915,0,2,79,2,1,0.0,19.75
1926,0,2,80,2,1,0.0,19.7667
1926,0,2,80,2,1,0.0,19.7833
1926,0,2,80,2,1,0.0,19.8
1926,0,2,80,2,1,0.0,19.8167
1926,0,2,80,2,1,0.0,19.8333
1926,0,2,80,2,1,0.0,19.85
1926,0,2,80,2,1,0.0,19.8667
1926,0,2,80,2,1,0.0,19.8833
1926,0,2,80,2,1,0.0,19.9
1926,0,2,80,2,1,0.0,19.9167
1926,0,2,80,2,1,0.0,19.9333
1926,0,2,80,2,1,0.0,19.95
1926,0,2,80,2,1,0.0,19.9667
1926,0,2,80,2,1,0.0,19.9833
1926,0,2,80,2,1,0.0,20.0
1937,0,2,81,2,1,0.0,20.0167
1937,0,2,81,2,1,0.0,20.0333
1937,0,2,81,2,1,0.0,20.05
1937,0,2,81,2,1,0.0,20.0667
1937,0,2,81,2,1,0.0,20.0833
1937,0,2,81,2,1,0.0,20.1
1937,0,2,81,2,1,0.0,20.1167
1937,0,2,81,2,1,0.0,20.1333
1937,0,2,81,2,1,0.0,20.15
1937,0,2,81,2,1,0.0,20.1667
1937,0,2,81,2,1,0.0,20.1833
1937,0,2,81,2,1,0.0,20.2
1937,0,2,81,2,1,0.0,20.2167
1937,0,2,81,2,1,0.0,20.2333
1937,0,2,81,2,1,0.0,20.25
1948,0,2,82,2,1,0.0,20.2667
1948,0,2,82,2,1,0.0,20.2833
1948,0,2,82,2,1,0.0,20.3
1948,0,2,82,2,1,0.0,20.3167
1948,0,2,82,2,1,0.0,20.3333
1948,0,2,82,2,1,0.0,20.35
1948,0,2,82,2,1,0.0,20.3667
1948,0,2,82,2,1,0.0,20.3833
1948,0,2,82,2,1,0.0,20.4
1948,0,2,82,2,1,0.0,20.4167
1948,0,2,82,2,1,0.0,20.4333
1948,0,2,82,2,1,0.0,20.45
1948,0,2,82,2,1,0.0,20.4667
1948,0,2,82,2,1,0.0,20.4833
1948,0,2,82,2,1,0.0,20.5
1959,0,2,83,2,1,0.0,20.5167
1959,0,2,83,2,1,0.0,20.5333
1959,0,2,83,2,1,0.0,20.55
1959,0,2,83,2,1,0.0,20.5667
1959,0,2,83,2,1,0.0,20.5833
1959,0,2,83,2,1,0.0,20.6
