timestep,plant_id,scenario,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume,volume_res
3,49901,3,33.36081067787622,0.0,0.0,33.360801972034565,33.36081067787622,0.0005519080234999338,0.0
3,49902,1,37.72053117499176,0.0,0.0,0.0,37.72053117499176,464.0036045309012,445.144004026786
3,49902,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49902,3,33.360801972034565,0.0,0.0,0.0,33.360801972034565,466.1812892677793,449.5037332297475
3,49903,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49903,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49903,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49904,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49904,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49905,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49905,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49905,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49906,1,99.07701687284984,0.0,0.0,10.0,99.07701687284984,174531.3434723434,174487.04420267543
3,49906,2,0.0,0.0,0.0,0.0,0.0,174725.0,174725.0
3,49906,3,42.52411804746479,0.0,0.0,0.0,42.52411804746479,174595.7078833035,174575.5794870821
3,49907,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49907,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49907,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49908,1,10.0,0.0,0.0,0.0,10.0,9325.005000000001,9320.0
3,49908,2,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
3,49908,3,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
3,49911,1,0.0,0.0,0.0,0.0,0.0,18500.0,18500.0
3,49911,2,0.0,0.0,0.0,13.0,0.0,18532.4935,18539.0
3,49911,3,0.0,0.0,0.0,13.0,0.0,18532.4935,18539.0
3,49912,1,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
3,49912,2,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
3,49912,3,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
3,49913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49913,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49913,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49914,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49914,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49914,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49915,1,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
3,49915,2,13.0,0.0,0.0,0.0,13.0,2967.5065,2961.0
3,49915,3,13.0,0.0,0.0,0.0,13.0,2967.5065,2961.0
3,49920,1,0.0,0.0,0.0,0.0,0.0,1961.676660461876,1961.6766604619156
3,49920,2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0
3,49920,3,0.0,0.0,0.0,0.0,0.0,1961.676660461876,1961.6766604619156
3,49921,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49921,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49921,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49922,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49922,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49922,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
3,49923,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49923,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49923,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49924,1,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
3,49924,2,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
3,49924,3,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
3,49925,1,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
3,49925,2,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
3,49925,3,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
3,49927,1,0.0,0.0,0.0,0.0,0.0,93499.99999999999,93499.99999999997
3,49927,2,0.0,0.0,0.0,0.0,0.0,93499.99999999999,93499.99999999997
3,49927,3,0.0,0.0,0.0,0.0,0.0,93499.99999999999,93499.99999999997
3,49928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49928,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49928,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49929,1,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
