id,area,timestep,load,load_shedding,power_dumping
186,1,18.5,375.14125,0.0,218.8587499999999
187,1,18.6,370.7210400000001,0.0,223.2789599999999
188,1,18.7,362.03207,0.0,231.9679299999999
189,1,18.8,350.33608000000004,0.0,243.66391999999996
190,1,18.9,336.89481000000006,0.0,257.10518999999994
191,1,19.0,322.97,0.0,271.03
192,1,19.1,310.89450000000005,0.0,283.10550000000006
193,1,19.2,301.96120000000013,0.0,292.0388000000001
194,1,19.3,295.8719,0.0,298.1280999999999
195,1,19.4,292.32840000000004,0.0,301.6716
196,1,19.5,291.0325,0.0,302.9675
197,1,19.6,291.68600000000004,0.0,302.314
198,1,19.7,293.99069999999995,0.0,300.00929999999994
199,1,19.8,297.64840000000004,0.0,296.35159999999996
200,1,19.9,302.3609,0.0,291.6391
201,1,20.0,307.83,0.0,286.16999999999996
202,1,20.1,313.31888,0.0,280.68112
203,1,20.2,318.05464000000006,0.0,275.9453600000001
204,1,20.3,321.68495999999993,0.0,272.3150399999999
205,1,20.4,323.85752,0.0,270.14248
206,1,20.5,324.22,0.0,269.7799999999999
207,1,20.6,322.4200800000001,0.0,271.57991999999996
208,1,20.7,318.10544000000004,0.0,275.89455999999996
209,1,20.8,310.92376,0.0,283.07624
210,1,20.9,300.52272000000005,0.0,293.47727999999995
211,1,21.0,286.55,0.0,307.44999999999993
212,1,21.1,268.78612000000004,0.0,325.21388
213,1,21.2,249.23376000000007,0.0,344.7662400000001
214,1,21.3,230.87383999999994,0.0,363.1261599999999
215,1,21.4,216.68728000000004,0.0,377.31272
216,1,21.5,209.65499999999997,0.0,384.34499999999997
217,1,21.6,212.75792,0.0,381.24208000000004
218,1,21.7,228.97696,0.0,365.02304
219,1,21.8,261.29304,0.0,332.70696
220,1,21.9,312.68708,0.0,281.31291999999996
221,1,22.0,386.14,0.0,207.85999999999996
222,1,22.1,463.18481,0.0,181.70246
223,1,22.2,523.3588800000001,0.0,156.01808000000005
224,1,22.3,566.6496699999999,0.0,133.56122
225,1,22.4,593.04464,0.0,117.08624000000002
226,1,22.5,602.5312499999999,0.0,109.34750000000001
227,1,22.6,595.0969600000001,0.0,113.09936000000002
228,1,22.7,570.72923,0.0,131.09618
229,1,22.8,529.41552,0.0,166.09232000000003
230,1,22.9,471.14329,0.0,220.84214000000006
231,1,23.0,395.9,0.0,298.1
232,1,23.1,326.73879000000005,0.0,357.67208000000005
233,1,23.2,283.31272000000007,0.0,375.0370400000001
234,1,23.3,260.50912999999997,0.0,359.36695999999995
235,1,23.4,253.21536000000003,0.0,319.83392000000003
236,1,23.5,256.31875,0.0,265.61
237,1,23.6,264.70664000000005,0.0,205.86728000000005
238,1,23.7,273.26637,0.0,149.77784000000003
239,1,23.8,276.88528,0.0,106.51375999999999
240,1,23.9,270.45070999999996,0.0,85.24712000000001
241,1,24.0,248.85,0.0,95.15
242,2,0.0,128.48,0.0,408.65999999999997
243,2,0.1,138.63745,0.0,377.15033
