timestep,area,scenario,load,load_shedding,power_dumping
16,2,3,0.0,0.0,0.0
16,3,1,598.6261646433322,15.084672082265053,0.0
16,3,2,415.98000969666487,0.0,0.0
16,3,3,558.0087947166647,0.0,0.0
17,1,1,625.6125778633332,0.0,0.0
17,1,2,434.77353010333286,0.0,0.0
17,1,3,583.2125634266671,0.0,0.0
17,2,1,0.0,0.0,0.0
17,2,2,0.0,0.0,0.0
17,2,3,0.0,0.0,0.0
17,3,1,637.1812695400065,15.187647859761311,0.0
17,3,2,442.7669246966719,0.0,0.0
17,3,3,593.9813994466734,0.0,0.0
18,1,1,764.1186805966639,5.722309969064458,0.0
18,1,2,531.0070683966638,0.0,0.0
18,1,3,712.3016712166623,0.0,0.0
18,2,1,0.0,0.0,0.0
18,2,2,0.0,0.0,0.0
18,2,3,0.0,0.0,0.0
18,3,1,701.0921411933246,16.830572000257423,0.0
18,3,2,487.16462737332824,0.0,0.0
18,3,3,653.4728617966585,0.0,0.0
19,1,1,800.2538732033332,6.654863021555744,0.0
19,1,2,556.0992987899992,0.0,0.0
19,1,3,745.9837333199993,0.0,0.0
19,2,1,0.0,0.0,0.0
19,2,2,0.0,0.0,0.0
19,2,3,0.0,0.0,0.0
19,3,1,702.4047601299999,0.0,0.0
19,3,2,488.11037512333337,0.0,0.0
19,3,3,654.8271948533331,0.0,0.0
20,1,1,795.9649499733333,4.536596910879358,0.0
20,1,2,553.1358799166674,0.0,0.0
20,1,3,741.9931649633352,0.0,0.0
20,2,1,0.0,0.0,0.0
20,2,2,0.0,0.0,0.0
20,2,3,0.0,0.0,0.0
20,3,1,687.2583612100029,0.0,0.0
20,3,2,477.57126730666863,0.0,0.0
20,3,3,640.6549965066702,0.0,0.0
21,1,1,786.6962234666663,8.847215291386762,0.0
21,1,2,546.6825939766666,0.0,0.0
21,1,3,733.3707435300008,0.0,0.0
21,2,1,0.0,0.0,0.0
21,2,2,0.0,0.0,0.0
21,2,3,0.0,0.0,0.0
21,3,1,670.0907431699902,0.0,0.0
21,3,2,465.66280218666066,0.0,0.0
21,3,3,624.6616428999926,0.0,0.0
22,1,1,761.9855075466686,4.972139597490495,0.0
22,1,2,529.5245482766677,0.0,0.0
22,1,3,710.322632756668,0.0,0.0
22,2,1,0.0,0.0,0.0
22,2,2,0.0,0.0,0.0
22,2,3,0.0,0.0,0.0
22,3,1,642.2065918199978,9.15398591867043,0.0
22,3,2,446.27868283666527,0.0,0.0
22,3,3,598.6655220933318,0.0,0.0
23,1,1,719.2796904533344,0.0,0.0
23,1,2,499.8491053700006,0.0,0.0
23,1,3,670.5253554366666,0.0,0.0
23,2,1,0.0,0.0,0.0
23,2,2,0.0,0.0,0.0
23,2,3,0.0,0.0,0.0
23,3,1,595.3701173233341,13.335153555210066,0.0
23,3,2,413.72002661666727,0.0,0.0
23,3,3,555.0258621600001,0.0,0.0
24,1,1,672.4007194033346,0.0,0.0
24,1,2,467.2698094733344,0.0,0.0
24,1,3,626.8262493866673,0.0,0.0
24,2,1,0.0,0.0,0.0
24,2,2,0.0,0.0,0.0
24,2,3,0.0,0.0,0.0
24,3,1,550.2531221200184,11.01652775865921,0.0
24,3,2,382.37633621667885,0.0,0.0
24,3,3,512.9303481633497,0.0,0.0
