id,area,scenario,timestep,timestep_fractional,load,load_shedding,power_dumping
143,1,1,3,2.3667,468.369796345679,0.0,0.00023713580247161607
144,1,1,3,2.3833,468.2415059753087,0.0,0.00040454320988077443
145,1,1,3,2.4,468.12502400000005,0.0,0.0006480000000067775
146,1,1,3,2.4167,468.01382716049386,0.0,0.0009876543209979842
147,1,1,3,2.4333,467.9018378271604,0.0,0.0014460246913731486
148,1,1,3,2.45,467.78342399999997,0.0,0.0020480000000214207
149,1,1,3,2.4667,467.65339930864195,0.0,0.0028208395062023434
150,1,1,3,2.4833,467.50702301234566,0.0,0.003794172839545857
151,1,1,3,2.5,467.34,0.0,0.005000000000052296
152,1,1,3,2.5167,467.1202998518518,0.0,0.003805234567940783
153,1,1,3,2.5333,466.8397902222223,0.0,0.0029030123457075073
154,1,1,3,2.55,466.5330880000001,0.0,0.0023040000000182775
155,1,1,3,2.5667,466.2277842962964,0.0,0.0020022716049465667
156,1,1,3,2.5833,465.9444444444445,0.0,0.001975308641973513
157,1,1,3,2.6,465.6966080000001,0.0,0.0021839999999879187
158,1,1,3,2.6167,465.49078874074075,0.0,0.0025726419752862533
159,1,1,3,2.6333,465.3264746666667,0.0,0.0030689382715726487
160,1,1,3,2.65,465.1961280000001,0.0,0.0035839999999589056
161,1,1,3,2.6667,465.0851851851852,0.0,0.004012345678964485
162,1,1,3,2.6833,464.97205688888886,0.0,0.004231901234516516
163,1,1,3,2.7,464.82812800000005,0.0,0.004103999999949792
164,1,1,3,2.7167,464.61775762962964,0.0,0.003473382716006772
165,1,1,3,2.7333,464.2982791111111,0.0,0.002168197530837578
166,1,1,3,2.75,463.82,0.0,0.0
167,1,1,3,2.7667,463.29573037037034,0.0,0.0
168,1,1,3,2.7833,462.867371851852,0.0,0.0
169,1,1,3,2.8,462.5234400000001,0.0,0.0
170,1,1,3,2.8167,462.25223703703716,0.0,0.0
171,1,1,3,2.8333,462.041851851852,0.0,0.0
172,1,1,3,2.85,461.8801600000001,0.0,0.0
173,1,1,3,2.8667,461.75482370370366,0.0,0.0
174,1,1,3,2.8833,461.6532918518518,0.0,0.0
175,1,1,3,2.9,461.56280000000004,0.0,0.0
176,1,1,3,2.9167,461.4703703703704,0.0,0.0
177,1,1,3,2.9333,461.3628118518519,0.0,0.0
178,1,1,3,2.95,461.22672,0.0,0.0
179,1,1,3,2.9667,461.048477037037,0.0,0.0
180,1,1,3,2.9833,460.81425185185185,0.0,0.0
181,1,1,3,3.0,460.51,0.0,0.0
182,1,1,4,3.0167,460.180472691358,0.0,0.0
183,1,1,4,3.0333,459.8892252839506,0.0,0.0
184,1,1,4,3.05,459.64100800000017,0.0,0.0
185,1,1,4,3.0667,459.4389023209878,0.0,0.0
186,1,1,4,3.0833,459.28432098765444,0.0,0.0
187,1,1,4,3.1,459.177008,0.0,0.0
188,1,1,4,3.1167,459.1150386172839,0.0,0.0
189,1,1,4,3.1333,459.0948193580247,0.0,0.0
190,1,1,4,3.15,459.11108800000005,0.0,0.0
191,1,1,4,3.1667,459.15691358024696,0.0,0.0
192,1,1,4,3.1833,459.2236963950618,0.0,0.0
193,1,1,4,3.2,459.3011680000001,0.0,0.0
194,1,1,4,3.2167,459.3773912098766,0.0,0.0
195,1,1,4,3.2333,459.43876009876544,0.0,0.0
196,1,1,4,3.25,459.47,0.0,0.0
197,1,1,4,3.2667,459.45169995061735,0.0,1.1061728394800152e-5
198,1,1,4,3.2833,459.39586587654327,0.0,8.217283950422971e-5
199,1,1,4,3.3,459.3220960000001,0.0,0.0002559999999939465
200,1,1,4,3.3167,459.24598735802476,0.0,0.0005562469135670934
201,1,1,4,3.3333,459.1791358024692,0.0,0.0009876543209642995
202,1,1,4,3.35,459.12913600000013,0.0,0.0015359999999636788
203,1,1,4,3.3667,459.0995814320988,0.0,0.00216809876538083
204,1,1,4,3.3833,459.09006439506175,0.0,0.002831802469068839
205,1,1,4,3.4,459.096176,0.0,0.0034559999999182766
206,1,1,4,3.4167,459.10950617283953,0.0,0.003950617283857198
207,1,1,4,3.4333,459.117643654321,0.0,0.004206617283851144
208,1,1,4,3.45,459.104176,0.0,0.004095999999903142
209,1,1,4,3.4667,459.0486895802469,0.0,0.003471802469053705
210,1,1,4,3.4833,458.9267695802469,0.0,0.0021680987653808297
211,1,1,4,3.5,458.71,0.0,0.0
212,1,1,4,3.5167,458.44918083950625,0.0,9.876543209923702e-8
213,1,1,4,3.5333,458.22300898765434,0.0,1.5802469135877923e-6
214,1,1,4,3.55,458.03292800000014,0.0,8.0000000000382e-6
215,1,1,4,3.5667,457.87906824691373,0.0,2.5283950617404677e-5
216,1,1,4,3.5833,457.76024691358043,0.0,6.172839506202312e-5
217,1,1,4,3.6,457.6739680000001,0.0,0.0001280000000006112
218,1,1,4,3.6167,457.6164223209876,0.0,0.0002371358024702681
