id,areas_fk,plant_id,timestep,b,scenario,area,fuel_type,production,up_activation,down_activation
370,1,49912,1,3,1,3,Hydro,0.0,0.0,0.0
371,1,49912,1,3,2,3,Hydro,0.0,0.0,0.0
372,1,49912,1,3,3,3,Hydro,0.0,0.0,0.0
373,1,49912,1,4,1,3,Hydro,0.0,0.0,0.0
374,1,49912,1,4,2,3,Hydro,0.0,0.0,0.0
375,1,49912,1,4,3,3,Hydro,0.0,0.0,0.0
376,1,49913,1,0,1,3,Hydro,0.0,0.0,0.0
377,1,49913,1,0,2,3,Hydro,0.0,0.0,0.0
378,1,49913,1,0,3,3,Hydro,0.0,0.0,0.0
379,1,49913,1,1,1,3,Hydro,0.0,0.0,0.0
380,1,49913,1,1,2,3,Hydro,0.0,0.0,0.0
381,1,49913,1,1,3,3,Hydro,0.0,0.0,0.0
382,1,49913,1,2,1,3,Hydro,0.0,0.0,0.0
383,1,49913,1,2,2,3,Hydro,0.0,0.0,0.0
384,1,49913,1,2,3,3,Hydro,0.0,0.0,0.0
385,1,49913,1,3,1,3,Hydro,0.0,0.0,0.0
386,1,49913,1,3,2,3,Hydro,0.0,0.0,0.0
387,1,49913,1,3,3,3,Hydro,0.0,0.0,0.0
388,1,49913,1,4,1,3,Hydro,0.0,0.0,0.0
389,1,49913,1,4,2,3,Hydro,0.0,0.0,0.0
390,1,49913,1,4,3,3,Hydro,0.0,0.0,0.0
391,1,49914,1,0,1,3,Hydro,0.0,0.0,0.0
392,1,49914,1,0,2,3,Hydro,0.0,0.0,0.0
393,1,49914,1,0,3,3,Hydro,0.0,0.0,0.0
394,1,49914,1,1,1,3,Hydro,0.0,0.0,0.0
395,1,49914,1,1,2,3,Hydro,0.0,0.0,0.0
396,1,49914,1,1,3,3,Hydro,0.0,0.0,0.0
397,1,49914,1,2,1,3,Hydro,0.0,0.0,0.0
398,1,49914,1,2,2,3,Hydro,0.0,0.0,0.0
399,1,49914,1,2,3,3,Hydro,0.0,0.0,0.0
400,1,49914,1,3,1,3,Hydro,0.0,0.0,0.0
401,1,49914,1,3,2,3,Hydro,0.0,0.0,0.0
402,1,49914,1,3,3,3,Hydro,0.0,0.0,0.0
403,1,49914,1,4,1,3,Hydro,0.0,0.0,0.0
404,1,49914,1,4,2,3,Hydro,0.0,0.0,0.0
405,1,49914,1,4,3,3,Hydro,0.0,0.0,0.0
406,1,49915,1,0,1,3,Hydro,0.0,0.0,0.0
407,1,49915,1,0,2,3,Hydro,0.0,0.0,0.0
408,1,49915,1,0,3,3,Hydro,0.0,0.0,0.0
409,1,49915,1,1,1,3,Hydro,0.0,0.0,0.0
410,1,49915,1,1,2,3,Hydro,0.0,0.0,0.0
411,1,49915,1,1,3,3,Hydro,0.0,0.0,0.0
