id,scenario,line_id,timestep,timestep_fractional,area_from,area_to,transmission
529,1,1,9,8.8,1,2,33.85
530,1,1,9,8.8167,1,2,33.6
531,1,1,9,8.8333,1,2,33.17
532,1,1,9,8.85,1,2,32.55
533,1,1,9,8.8667,1,2,31.72
534,1,1,9,8.8833,1,2,30.66
535,1,1,9,8.9,1,2,29.38
536,1,1,9,8.9167,1,2,27.85
537,1,1,9,8.9333,1,2,26.05
538,1,1,9,8.95,1,2,23.98
539,1,1,9,8.9667,1,2,21.62
540,1,1,9,8.9833,1,2,18.95
541,1,1,9,9.0,1,2,15.95
542,1,1,10,9.0167,1,2,14.94
543,1,1,10,9.0333,1,2,14.04
544,1,1,10,9.05,1,2,13.24
545,1,1,10,9.0667,1,2,12.54
546,1,1,10,9.0833,1,2,11.94
547,1,1,10,9.1,1,2,11.43
548,1,1,10,9.1167,1,2,11.0
549,1,1,10,9.1333,1,2,10.66
550,1,1,10,9.15,1,2,10.4
551,1,1,10,9.1667,1,2,10.21
552,1,1,10,9.1833,1,2,10.09
553,1,1,10,9.2,1,2,10.04
554,1,1,10,9.2167,1,2,10.05
555,1,1,10,9.2333,1,2,10.13
556,1,1,10,9.25,1,2,10.25
557,1,1,10,9.2667,1,2,10.43
558,1,1,10,9.2833,1,2,10.66
559,1,1,10,9.3,1,2,10.93
560,1,1,10,9.3167,1,2,11.25
561,1,1,10,9.3333,1,2,11.6
562,1,1,10,9.35,1,2,11.98
563,1,1,10,9.3667,1,2,12.4
564,1,1,10,9.3833,1,2,12.84
565,1,1,10,9.4,1,2,13.3
566,1,1,10,9.4167,1,2,13.79
567,1,1,10,9.4333,1,2,14.29
568,1,1,10,9.45,1,2,14.8
569,1,1,10,9.4667,1,2,15.32
570,1,1,10,9.4833,1,2,15.85
571,1,1,10,9.5,1,2,16.38
572,1,1,10,9.5167,1,2,16.92
573,1,1,10,9.5333,1,2,17.44
574,1,1,10,9.55,1,2,17.97
575,1,1,10,9.5667,1,2,18.48
576,1,1,10,9.5833,1,2,18.98
577,1,1,10,9.6,1,2,19.46
578,1,1,10,9.6167,1,2,19.92
579,1,1,10,9.6333,1,2,20.37
580,1,1,10,9.65,1,2,20.78
581,1,1,10,9.6667,1,2,21.17
582,1,1,10,9.6833,1,2,21.53
