timestep,plant_id,scenario,production,up_activation,down_activation,area,fuel_type,status,startup
2,49925,3,0.0,0.0,0.0,3,Hydro,0,0
2,49927,1,0.0,0.0,0.0,3,Hydro,0,0
2,49927,2,0.0,0.0,0.0,3,Hydro,0,0
2,49927,3,0.0,0.0,0.0,3,Hydro,0,0
2,49928,1,0.0,0.0,0.0,3,Hydro,0,0
2,49928,2,0.0,0.0,0.0,3,Hydro,0,0
2,49928,3,0.0,0.0,0.0,3,Hydro,0,0
2,49929,1,0.0,0.0,0.0,3,Hydro,0,0
2,49929,2,0.0,0.0,0.0,3,Hydro,0,0
2,49929,3,0.0,0.0,0.0,3,Hydro,0,0
2,49930,1,0.0,0.0,0.0,3,Hydro,0,0
2,49930,2,0.0,0.0,0.0,3,Hydro,0,0
2,49930,3,0.0,0.0,0.0,3,Hydro,0,0
2,49931,1,0.0,0.0,0.0,3,Hydro,0,0
2,49931,2,0.0,0.0,0.0,3,Hydro,0,0
2,49931,3,0.0,0.0,0.0,3,Hydro,0,0
3,1,1,1.99,0.8793799999999973,0.0,1,Thermal,0,1
3,1,2,1.11,0.0,0.0,1,Thermal,0,1
3,1,3,1.11,0.0,0.0,1,Thermal,0,1
3,2,1,1.99,0.9666499999999978,0.0,1,Thermal,0,1
3,2,2,1.03,0.0,0.0,1,Thermal,0,1
3,2,3,1.03,0.0,0.0,1,Thermal,0,1
3,3,1,75.99,0.0,0.0,1,Thermal,0,1
3,3,2,75.99,0.0,0.0,1,Thermal,0,1
3,3,3,75.99,0.0,0.0,1,Thermal,0,1
3,4,1,75.99,0.0,0.0,1,Thermal,0,1
3,4,2,75.99,0.0,0.0,1,Thermal,0,1
3,4,3,75.99,0.0,0.0,1,Thermal,0,1
3,5,1,1.99,0.8793799999999973,0.0,1,Thermal,0,1
3,5,2,1.11,0.0,0.0,1,Thermal,0,1
3,5,3,1.11,0.0,0.0,1,Thermal,0,1
3,6,1,0.0,0.0,0.0,1,Thermal,0,1
3,6,2,0.0,0.0,0.0,1,Thermal,0,1
3,6,3,0.0,0.0,0.0,1,Thermal,0,1
3,7,1,75.99,0.0,0.0,1,Thermal,0,1
3,7,2,75.99,0.0,0.0,1,Thermal,0,1
3,7,3,75.99,0.0,0.0,1,Thermal,0,1
3,8,1,75.99,0.0,0.0,1,Thermal,0,1
3,8,2,75.99,0.0,0.0,1,Thermal,0,1
3,8,3,75.99,0.0,0.0,1,Thermal,0,1
3,9,1,354.99,0.0,0.0,1,Thermal,0,1
3,9,2,227.28,0.0,127.70501999999993,1,Thermal,0,1
3,9,3,354.12,0.0,0.8685799999999984,1,Thermal,0,1
3,10,1,54.99,0.0,0.0,1,Thermal,0,1
3,10,2,23.57,0.0,31.41788000000004,1,Thermal,0,1
3,10,3,54.99,0.0,0.0,1,Thermal,0,1
3,154,1,12.2,0.0,0.0,2,Wind,0,0
3,154,2,11.4,0.0,0.0,2,Wind,0,0
3,154,3,12.6,0.0,0.0,2,Wind,0,0
3,155,1,68.3,0.0,0.0,2,Wind,0,0
3,155,2,63.5,0.0,0.0,2,Wind,0,0
3,155,3,70.4,0.0,0.0,2,Wind,0,0
3,156,1,43.02,0.0,0.0,2,Wind,0,0
