timestep_fractional,Continuous up_activation,Continuous down_activation,Discrete down_activation,Discrete up_activation,Imbalance continuous,Imbalance discrete
1.5833,439.10999999999996,375.51999999999975,374.4999999999999,338.5,85.47562500000186,57.800000000002
1.6,443.1200000000001,374.2999999999998,374.4999999999999,338.5,-7.045567999999548,-39.899999999999636
1.6167,447.22,373.3099999999999,374.4999999999999,338.5,-1.9075052222233353,-39.899999999999636
1.6333,451.6000000000003,372.51,374.4999999999999,338.5,3.1877653333340277,-39.899999999999636
1.65,456.0999999999996,371.96000000000004,374.4999999999999,338.5,8.238736999999674,-39.899999999999636
1.6667,460.90999999999997,371.71999999999997,374.4999999999999,338.5,13.244444444441797,-39.899999999999636
1.6833,465.87000000000023,371.86000000000024,374.4999999999999,338.5,-11.69553633333362,-69.79999999999927
1.7,471.12000000000035,372.1199999999999,374.4999999999999,338.5,-6.781087999998817,-69.79999999999927
1.7167,476.51999999999975,372.61,374.4999999999999,338.5,-1.9115518888884253,-69.79999999999927
1.7333,482.16999999999956,373.53000000000003,374.4999999999999,338.5,2.914271999999073,-69.79999999999927
1.75,488.0499999999999,374.5599999999999,374.4999999999999,338.5,7.698124999998981,-69.79999999999927
1.7667,494.33,376.02999999999986,374.4999999999999,338.5,44.74228977777602,-37.5
1.7833,500.6799999999998,377.7199999999999,374.4999999999999,338.5,49.44959033333362,-37.5
1.8,507.4400000000002,379.79999999999984,374.4999999999999,338.5,54.12339199999951,-37.5
1.8167,514.4799999999998,382.21,374.4999999999999,338.5,58.76760144444415,-37.5
1.8333,521.9600000000002,385.0199999999999,374.4999999999999,338.5,63.386666666666315,-37.5
1.85,529.6199999999995,388.1299999999997,374.4999999999999,338.5,-14.314422999998897,-119.79999999999927
1.8667,537.6299999999997,391.70999999999964,374.4999999999999,338.5,-9.73013688888932,-119.79999999999927
1.8833,546.1399999999995,395.54999999999995,374.4999999999999,338.5,-5.154403000000457,-119.79999999999927
1.9,554.9200000000001,399.7000000000004,374.4999999999999,338.5,-0.5806079999993017,-119.79999999999927
1.9167,564.2100000000004,404.3200000000002,374.4999999999999,338.5,3.9984027777809388,-119.79999999999927
1.9333,573.8000000000003,409.41000000000025,374.4999999999999,338.5,-125.80967466666516,-254.1999999999989
1.95,583.82,414.8899999999999,374.4999999999999,338.5,-121.1966029999985,-254.1999999999989
1.9667,594.5000000000001,420.80999999999966,374.4999999999999,338.5,-116.55360355555422,-254.1999999999989
1.9833,605.5200000000001,427.2000000000003,374.4999999999999,338.5,-111.8713563333331,-254.1999999999989
2,617.0199999999999,433.92000000000013,374.4999999999999,338.5,-107.13999999999851,-254.1999999999989
2.0167,565.4999999999998,598.2999999999994,411.24999999999994,271.73999999999995,38.88737896913699,211.1999999999989
2.0333,554.0099999999998,580.8300000000004,411.24999999999994,271.73999999999995,44.977549432100204,211.1999999999989
2.05,543.5599999999994,563.33,411.24999999999994,271.73999999999995,51.82752650000111,211.1999999999989
2.0667,534.0899999999999,546.56,411.24999999999994,271.73999999999995,59.33827832098905,211.1999999999989
2.0833,525.7999999999998,529.93,411.24999999999994,271.73999999999995,67.41472608024833,211.1999999999989
2.1,518.2299999999998,513.8700000000001,411.24999999999994,271.73999999999995,-6.534255999999004,128.69999999999982
2.1167,511.47999999999985,498.1700000000003,411.24999999999994,271.73999999999995,2.4041593395077143,128.69999999999982
2.1333,505.5100000000002,483.0099999999999,411.24999999999994,271.73999999999995,11.646752395061412,128.69999999999982
2.15,500.36,468.3499999999995,411.24999999999994,271.73999999999995,21.11425650000274,128.69999999999982
2.1667,495.70000000000033,454.0099999999999,411.24999999999994,271.73999999999995,30.731358024691872,128.69999999999982
2.1833,491.6199999999997,440.48,411.24999999999994,271.73999999999995,-90.67330362345456,-2.399999999999636
2.2,488.13,427.11999999999983,411.24999999999994,271.73999999999995,-80.96713600000021,-2.399999999999636
2.2167,485.12000000000023,414.4800000000003,411.24999999999994,271.73999999999995,-71.31359362345484,-2.399999999999636
2.2333,482.59000000000003,402.37,411.24999999999994,271.73999999999995,-61.77217797530466,-2.399999999999636
2.25,480.46000000000015,390.9800000000001,411.24999999999994,271.73999999999995,-52.39843749999818,-2.399999999999636
2.2667,478.55000000000007,379.91999999999996,411.24999999999994,271.73999999999995,-14.043967604940917,26.799999999999272
