Imbalance continuous;Imbalance discrete;timestep_fractional;;;;;;;;;;;
3.58;20.1;0;;21.017392;32.2;;;;Column1;Discrete;Continuous;Column2;Column3
0.589766914;2.2;4.4667;;9.789325815;12.9;;;;;;;;
0.565849529;2.2;4.4833;;9.76850598;12.9;;;;;;;;
0.57375;2.2;4.5;;9.745852062;12.9;;;;;;;;
4.48656936;2.9;4.5167;;9.695616988;12.9;;;;;;;;
4.415584198;2.9;4.5333;;9.678983062;12.9;;;;;;;;
4.314208125;2.9;4.55;;9.658009742;12.9;;;;;;;;
4.183792716;2.9;4.5667;;9.606918062;12.9;;;;;;;;
4.026127508;2.9;4.5833;;9.599948709;12.9;;;;;;;;
10.75656;11.7;4.6;;9.598782146;12.9;;;;;;;;
10.96160434;11.7;4.6167;;9.581673895;12.9;;;;;;;;
11.1859021;11.7;4.6333;;9.573563062;12.9;;;;;;;;
11.42591188;11.7;4.65;;9.569061333;12.9;;;;;;;;
11.67765432;11.7;4.6667;;9.55315897;12.9;;;;;;;;
5.736712122;5.5;4.6833;;9.528190222;12.8;;;;;;;;
5.99823;5.5;4.7;;9.525353;12.8;;;;;;;;
6.256914715;5.5;4.7167;;9.465938606;12.8;;;;;;;;
6.507035062;5.5;4.7333;;9.445096754;12.8;;;;;;;;
6.742421875;5.5;4.75;;9.443474437;12.8;;;;;;;;
2.943531975;4.4;4.7667;;9.434615333;12.7;;;;;;;;
2.757871582;4.4;4.7833;;9.408328;12.7;;;;;;;;
2.60808;4.4;4.8;;9.367793;12.7;;;;;;;;
2.502078248;4.4;4.8167;;9.31345679;12.7;;;;;;;;
2.448225309;4.4;4.8333;;9.279692398;12.7;;;;;;;;
0.755318125;2.7;4.85;;9.248221;12.5;;;;;;;;
0.832591605;2.7;4.8667;;9.243141383;12.5;;;;;;;;
0.989718619;2.7;4.8833;;9.239746765;12.5;;;;;;;;
1.23681;2.7;4.9;;9.210625;12.5;;;;;;;;
1.584414545;2.7;4.9167;;9.201017063;12.5;;;;;;;;
2.356480988;1.7;4.9333;;9.174084265;12.5;;;;;;;;
1.774451875;1.7;4.95;;9.170757564;12.5;;;;;;;;
1.057635432;1.7;4.9667;;9.127850284;12.5;;;;;;;;
0.193731011;1.7;4.9833;;9.116154951;12.5;;;;;;;;
0.83;1.7;5;;9.101616;12.5;;;;;;;;
7.150582745;4.7;5.0167;;9.073746767;12.5;;;;;;;;
6.299405395;4.7;5.0333;;9.072112;12.5;;;;;;;;
5.603402313;4.7;5.05;;9.055728;12.5;;;;;;;;
5.049938173;4.7;5.0667;;9.050508;12.5;;;;;;;;
4.626807967;4.7;5.0833;;9.028409;12.5;;;;;;;;
0.222237;0.6;5.1;;8.97684975;12.4;;;;;;;;
0.024880893;0.6;5.1167;;8.97069575;12.4;;;;;;;;
0.07617442;0.6;5.1333;;8.937328732;12.4;;;;;;;;
0.091412687;0.6;5.15;;8.886445312;12.4;;;;;;;;
0.030887346;0.6;5.1667;;8.884565125;12.4;;;;;;;;
7.895778485;8.4;5.1833;;8.884546765;12.2;;;;;;;;
8.079392;8.4;5.2;;8.874620049;12.2;;;;;;;;
8.311190708;8.4;5.2167;;8.847225361;12.2;;;;;;;;
8.582842432;8.4;5.2333;;8.837848889;12.2;;;;;;;;
8.886445312;8.4;5.25;;8.830740741;12.2;;;;;;;;
